@@,itemlabel,item,startdate,enddate
---,Abdul Aziz Al Qassab,Q56244133,1928-05-19,
---,Abdul Aziz Al Qassab,Q56244133,1947-03-17,1948-11-30
->,Naeem Haddad->Naim Haddad,Q66846748->NULL,1980-07-01,1983
+++,Sa'dun Hammadi,Q711468,1983,1984-10-31
+++,Sa'dun Hammadi,Q711468,1984-10-31,1989-04-12
->,Sa'di Mahdi Salih->Sa'adi Mahdi Salih,Q67917233->NULL,1989,1995-11-09
+++,Sa'dun Hammadi,Q711468,1989-04-12,1989
+++,Sa'dun Hammadi,Q711468,1996-04-08,2000-04-09
+++,Sa'dun Hammadi,Q711468,2000-04-09,2003-04-09
+++,Hajim al-Hassani,Q324564,2005-05,2006-03
+++,Mahmoud al-Mashhadani,Q6734442,2006-03-16,2008-12-23
+++,Ayad al-Samarrai,Q4830811,2009-04-19,2010-06-14
+++,Fouad Masoum,Q17410819,2010-06-14,2010-11-11
+++,Usama al-Nujayfi,Q1595996,2010-11-11,2014-07-15
+++,Salim al-Jabouri,Q17388713,2014-07-15,2018-07-01
+++,Mohamed al-Halbousi,Q47008930,2018-09-15,
